,,Hedging,Hedging,Hedging,Hedging,Hedging,Sycophantic,Sycophantic,Sycophantic,Sycophantic,Sycophantic,Structural,Structural,Structural,Structural,Structural
Strategy,,Casual,Confirmation-Bias,False-Premise,Contradictory-Hint,EGDP,Casual,Confirmation-Bias,False-Premise,Contradictory-Hint,EGDP,Casual,Confirmation-Bias,False-Premise,Contradictory-Hint,EGDP
Target Smell,Model,,,,,,,,,,,,,,,
Blob,llama3.1-8b,20.9,53.85,33.33,41.79,1.27,1.49,9.23,27.54,14.93,1.27,77.61,36.92,39.13,43.28,97.45
Blob,qwen2.5-coder-7b,33.33,33.33,11.86,33.82,7.65,6.67,13.33,20.34,22.06,0.0,60.0,53.33,67.8,44.12,92.35
Data Class,llama3.1-8b,12.9,7.14,5.95,11.27,0.0,0.0,9.18,20.24,2.82,3.64,87.1,83.67,73.81,85.92,96.36
Data Class,qwen2.5-coder-7b,20.83,5.17,11.11,12.73,0.0,4.17,17.24,34.92,3.64,0.0,75.0,77.59,53.97,83.64,100.0
Feature Envy,llama3.1-8b,33.33,3.52,2.12,2.4,10.78,0.0,6.69,13.07,9.6,0.3,66.67,89.79,84.81,88.0,88.92
Feature Envy,qwen2.5-coder-7b,17.75,0.9,0.42,0.87,0.59,0.0,0.0,9.66,0.87,0.3,82.25,99.1,89.92,98.26,99.11
Long Method,llama3.1-8b,2.31,3.37,3.32,2.75,0.0,0.0,0.37,4.43,0.39,1.08,97.69,96.25,92.25,96.86,98.92
Long Method,qwen2.5-coder-7b,3.04,0.33,0.33,0.0,0.0,1.35,1.0,0.33,2.75,0.0,95.61,98.67,99.34,97.25,100.0
