smell,model,baseline,variant,dfr_percent,decision_flips,total_samples,far_percent
blob,llama3_1-8b,Casual,Confirmation-Bias,84.57142857142857,148,175,
blob,llama3_1-8b,Casual,Contradictory-Hint,90.85714285714286,159,175,0.0
blob,llama3_1-8b,Casual,EGDP,55.42857142857143,97,175,
blob,llama3_1-8b,Casual,False-Premise,92.0,161,175,
data class,llama3_1-8b,Casual,Confirmation-Bias,62.857142857142854,110,175,
data class,llama3_1-8b,Casual,Contradictory-Hint,73.14285714285714,128,175,0.0
data class,llama3_1-8b,Casual,EGDP,62.28571428571429,109,175,
data class,llama3_1-8b,Casual,False-Premise,94.85714285714286,166,175,
feature envy,llama3_1-8b,Casual,Confirmation-Bias,72.0,126,175,
feature envy,llama3_1-8b,Casual,Contradictory-Hint,92.57142857142857,162,175,0.0
feature envy,llama3_1-8b,Casual,EGDP,78.85714285714286,138,175,
feature envy,llama3_1-8b,Casual,False-Premise,97.71428571428571,171,175,
long method,llama3_1-8b,Casual,Confirmation-Bias,70.28571428571428,123,175,
long method,llama3_1-8b,Casual,Contradictory-Hint,74.85714285714286,131,175,0.0
long method,llama3_1-8b,Casual,EGDP,54.285714285714285,95,175,
long method,llama3_1-8b,Casual,False-Premise,91.42857142857143,160,175,
