smell,model,baseline,variant,dfr_percent,decision_flips,total_samples,far_percent
blob,llama3_1-8b,Casual,Confirmation-Bias,6.29,11,175,
blob,llama3_1-8b,Casual,Contradictory-Hint,69.71,122,175,74.86
blob,llama3_1-8b,Casual,False-Premise,4.0,7,175,
blob,llama3_1-8b,Casual,Positive,5.14,9,175,
data class,llama3_1-8b,Casual,Confirmation-Bias,8.0,14,175,
data class,llama3_1-8b,Casual,Contradictory-Hint,59.43,104,175,59.43
data class,llama3_1-8b,Casual,False-Premise,1.14,2,175,
data class,llama3_1-8b,Casual,Positive,0.0,0,175,
feature envy,llama3_1-8b,Casual,Confirmation-Bias,9.14,16,175,
feature envy,llama3_1-8b,Casual,Contradictory-Hint,48.0,84,175,49.14
feature envy,llama3_1-8b,Casual,False-Premise,2.86,5,175,
feature envy,llama3_1-8b,Casual,Positive,1.14,2,175,
long method,llama3_1-8b,Casual,Confirmation-Bias,8.0,14,175,
long method,llama3_1-8b,Casual,Contradictory-Hint,60.0,105,175,68.57
long method,llama3_1-8b,Casual,False-Premise,9.14,16,175,
long method,llama3_1-8b,Casual,Positive,6.29,11,175,
