file                                                           , smell       , model      , strategy          , total_evaluated, accuracy, macro_precision, macro_recall, macro_f1, weighted_precision, weighted_recall, weighted_f1
ollama_results_blob_llama3_1-8b_Casual.json                    , blob        , llama3_1-8b, Casual            ,             175,   0.0971,          0.2706,       0.2789,   0.0667,             0.8216,          0.0971,      0.1045
ollama_results_blob_llama3_1-8b_Confirmation-Bias.json         , blob        , llama3_1-8b, Confirmation-Bias ,             175,   0.1143,          0.2834,       0.3184,   0.0886,             0.8257,          0.1143,      0.1115
ollama_results_blob_llama3_1-8b_Contradictory-Hint.json        , blob        , llama3_1-8b, Contradictory-Hint,             175,   0.7314,          0.3138,       0.3602,   0.3263,             0.7768,          0.7314,      0.7504
ollama_results_blob_llama3_1-8b_False-Premise.json             , blob        , llama3_1-8b, False-Premise     ,             175,   0.12  ,          0.2747,       0.2859,   0.0864,             0.8219,          0.12  ,      0.1447
ollama_results_blob_llama3_1-8b_Positive.json                  , blob        , llama3_1-8b, Positive          ,             175,   0.0457,          0.0193,       0.2632,   0.0349,             0.0043,          0.0457,      0.0073
ollama_results_data_class_llama3_1-8b_Casual.json              , data class  , llama3_1-8b, Casual            ,             175,   0.1543,          0.3193,       0.3163,   0.1247,             0.7707,          0.1543,      0.1066
ollama_results_data_class_llama3_1-8b_Confirmation-Bias.json   , data class  , llama3_1-8b, Confirmation-Bias ,             175,   0.2171,          0.2373,       0.2743,   0.1526,             0.5663,          0.2171,      0.2377
ollama_results_data_class_llama3_1-8b_Contradictory-Hint.json  , data class  , llama3_1-8b, Contradictory-Hint,             175,   0.6114,          0.2289,       0.2433,   0.2357,             0.583 ,          0.6114,      0.5968
ollama_results_data_class_llama3_1-8b_False-Premise.json       , data class  , llama3_1-8b, False-Premise     ,             175,   0.1486,          0.2568,       0.2776,   0.1112,             0.617 ,          0.1486,      0.1178
ollama_results_data_class_llama3_1-8b_Positive.json            , data class  , llama3_1-8b, Positive          ,             175,   0.0914,          0.0474,       0.2288,   0.0781,             0.019 ,          0.0914,      0.0313
ollama_results_feature_envy_llama3_1-8b_Casual.json            , feature envy, llama3_1-8b, Casual            ,             175,   0.12  ,          0.1811,       0.2824,   0.0934,             0.4258,          0.12  ,      0.0445
ollama_results_feature_envy_llama3_1-8b_Confirmation-Bias.json , feature envy, llama3_1-8b, Confirmation-Bias ,             175,   0.1886,          0.2623,       0.2402,   0.1164,             0.7416,          0.1886,      0.1976
ollama_results_feature_envy_llama3_1-8b_Contradictory-Hint.json, feature envy, llama3_1-8b, Contradictory-Hint,             175,   0.4743,          0.2679,       0.253 ,   0.2273,             0.7166,          0.4743,      0.5513
ollama_results_feature_envy_llama3_1-8b_False-Premise.json     , feature envy, llama3_1-8b, False-Premise     ,             175,   0.1429,          0.2512,       0.269 ,   0.0887,             0.6938,          0.1429,      0.0849
ollama_results_feature_envy_llama3_1-8b_Positive.json          , feature envy, llama3_1-8b, Positive          ,             175,   0.1086,          0.0539,       0.3091,   0.0917,             0.0193,          0.1086,      0.0327
ollama_results_long_method_llama3_1-8b_Casual.json             , long method , llama3_1-8b, Casual            ,             175,   0.1543,          0.3042,       0.3582,   0.1382,             0.8734,          0.1543,      0.1742
ollama_results_long_method_llama3_1-8b_Confirmation-Bias.json  , long method , llama3_1-8b, Confirmation-Bias ,             175,   0.2229,          0.314 ,       0.4081,   0.1795,             0.8759,          0.2229,      0.2675
ollama_results_long_method_llama3_1-8b_Contradictory-Hint.json , long method , llama3_1-8b, Contradictory-Hint,             175,   0.7257,          0.3913,       0.5347,   0.4228,             0.8464,          0.7257,      0.7669
ollama_results_long_method_llama3_1-8b_False-Premise.json      , long method , llama3_1-8b, False-Premise     ,             175,   0.2   ,          0.3004,       0.4164,   0.165 ,             0.8349,          0.2   ,      0.2234
ollama_results_long_method_llama3_1-8b_Positive.json           , long method , llama3_1-8b, Positive          ,             175,   0.1086,          0.2922,       0.3599,   0.0944,             0.8722,          0.1086,      0.0825
