smell,model,baseline,variant,dfr_percent,decision_flips,total_samples,far_percent
blob,qwen2_5-coder-7b,Casual,Adversarial-Refutation,16.0,28,175,
blob,qwen2_5-coder-7b,Casual,Confirmation-Bias,47.42857142857143,83,175,
blob,qwen2_5-coder-7b,Casual,Contradictory-Hint,48.57142857142857,85,175,0.0
blob,qwen2_5-coder-7b,Casual,False-Premise,51.42857142857142,90,175,
data class,qwen2_5-coder-7b,Casual,Adversarial-Refutation,46.285714285714285,81,175,
data class,qwen2_5-coder-7b,Casual,Confirmation-Bias,62.857142857142854,110,175,
data class,qwen2_5-coder-7b,Casual,Contradictory-Hint,61.71428571428571,108,175,0.0
data class,qwen2_5-coder-7b,Casual,False-Premise,64.0,112,175,
feature envy,qwen2_5-coder-7b,Casual,Adversarial-Refutation,20.0,35,175,
feature envy,qwen2_5-coder-7b,Casual,Confirmation-Bias,72.57142857142857,127,175,
feature envy,qwen2_5-coder-7b,Casual,Contradictory-Hint,72.57142857142857,127,175,0.0
feature envy,qwen2_5-coder-7b,Casual,False-Premise,72.57142857142857,127,175,
long method,qwen2_5-coder-7b,Casual,Adversarial-Refutation,26.857142857142858,47,175,
long method,qwen2_5-coder-7b,Casual,Confirmation-Bias,45.714285714285715,80,175,
long method,qwen2_5-coder-7b,Casual,Contradictory-Hint,40.57142857142857,71,175,0.0
long method,qwen2_5-coder-7b,Casual,False-Premise,52.57142857142857,92,175,
