smell,model,baseline,variant,dfr_percent,decision_flips,total_samples,far_percent
blob,qwen2_5-coder-7b,Casual,Confirmation-Bias,49.14,86,175,
blob,qwen2_5-coder-7b,Casual,Contradictory-Hint,44.0,77,175,79.43
blob,qwen2_5-coder-7b,Casual,False-Premise,19.43,34,175,
blob,qwen2_5-coder-7b,Casual,Positive,33.71,59,175,
data class,qwen2_5-coder-7b,Casual,Confirmation-Bias,44.0,77,175,
data class,qwen2_5-coder-7b,Casual,Contradictory-Hint,32.57,57,175,66.29
data class,qwen2_5-coder-7b,Casual,False-Premise,23.43,41,175,
data class,qwen2_5-coder-7b,Casual,Positive,31.43,55,175,
feature envy,qwen2_5-coder-7b,Casual,Confirmation-Bias,64.0,112,175,
feature envy,qwen2_5-coder-7b,Casual,Contradictory-Hint,37.14,65,175,64.57
feature envy,qwen2_5-coder-7b,Casual,False-Premise,31.43,55,175,
feature envy,qwen2_5-coder-7b,Casual,Positive,42.29,74,175,
long method,qwen2_5-coder-7b,Casual,Confirmation-Bias,30.29,53,175,
long method,qwen2_5-coder-7b,Casual,Contradictory-Hint,22.86,40,175,69.14
long method,qwen2_5-coder-7b,Casual,False-Premise,22.29,39,175,
long method,qwen2_5-coder-7b,Casual,Positive,21.14,37,175
