file                                                                , smell       , model           , strategy          , total_evaluated, accuracy, macro_precision, macro_recall, macro_f1, weighted_precision, weighted_recall, weighted_f1
ollama_results_blob_qwen2_5-coder-7b_Casual.json                    , blob        , qwen2_5-coder-7b, Casual            ,             175,   0.4229,          0.3273,       0.4133,   0.2811,             0.7993,          0.4229,      0.5046
ollama_results_blob_qwen2_5-coder-7b_Confirmation-Bias.json         , blob        , qwen2_5-coder-7b, Confirmation-Bias ,             175,   0.7486,          0.2851,       0.3317,   0.2997,             0.7548,          0.7486,      0.7476
ollama_results_blob_qwen2_5-coder-7b_Contradictory-Hint.json        , blob        , qwen2_5-coder-7b, Contradictory-Hint,             175,   0.76  ,          0.2972,       0.3466,   0.3121,             0.7747,          0.76  ,      0.7626
ollama_results_blob_qwen2_5-coder-7b_False-Premise.json             , blob        , qwen2_5-coder-7b, False-Premise     ,             175,   0.6229,          0.3586,       0.4296,   0.3423,             0.8321,          0.6229,      0.6805
ollama_results_blob_qwen2_5-coder-7b_Positive.json                  , blob        , qwen2_5-coder-7b, Positive          ,             175,   0.7029,          0.3531,       0.3859,   0.3392,             0.8024,          0.7029,      0.7344
ollama_results_data_class_qwen2_5-coder-7b_Casual.json              , data class  , qwen2_5-coder-7b, Casual            ,             175,   0.4   ,          0.2573,       0.3136,   0.2005,             0.6832,          0.4   ,      0.4546
ollama_results_data_class_qwen2_5-coder-7b_Confirmation-Bias.json   , data class  , qwen2_5-coder-7b, Confirmation-Bias ,             175,   0.6571,          0.2303,       0.2723,   0.2456,             0.6127,          0.6571,      0.6323
ollama_results_data_class_qwen2_5-coder-7b_Contradictory-Hint.json  , data class  , qwen2_5-coder-7b, Contradictory-Hint,             175,   0.6   ,          0.2457,       0.317 ,   0.2551,             0.6299,          0.6   ,      0.6031
ollama_results_data_class_qwen2_5-coder-7b_False-Premise.json       , data class  , qwen2_5-coder-7b, False-Premise     ,             175,   0.4686,          0.2494,       0.2983,   0.2192,             0.6629,          0.4686,      0.5197
ollama_results_data_class_qwen2_5-coder-7b_Positive.json            , data class  , qwen2_5-coder-7b, Positive          ,             175,   0.6   ,          0.24  ,       0.2914,   0.2469,             0.6295,          0.6   ,      0.6063
ollama_results_feature_envy_qwen2_5-coder-7b_Casual.json            , feature envy, qwen2_5-coder-7b, Casual            ,             175,   0.2971,          0.2287,       0.2312,   0.1468,             0.671 ,          0.2971,      0.3533
ollama_results_feature_envy_qwen2_5-coder-7b_Confirmation-Bias.json , feature envy, qwen2_5-coder-7b, Confirmation-Bias ,             175,   0.7771,          0.2729,       0.2824,   0.2757,             0.6999,          0.7771,      0.7355
ollama_results_feature_envy_qwen2_5-coder-7b_Contradictory-Hint.json, feature envy, qwen2_5-coder-7b, Contradictory-Hint,             175,   0.5714,          0.234 ,       0.2512,   0.225 ,             0.6807,          0.5714,      0.6114
ollama_results_feature_envy_qwen2_5-coder-7b_False-Premise.json     , feature envy, qwen2_5-coder-7b, False-Premise     ,             175,   0.5314,          0.2374,       0.2496,   0.2175,             0.6952,          0.5314,      0.5871
ollama_results_feature_envy_qwen2_5-coder-7b_Positive.json          , feature envy, qwen2_5-coder-7b, Positive          ,             175,   0.6057,          0.2306,       0.2403,   0.2255,             0.6825,          0.6057,      0.6365
ollama_results_long_method_qwen2_5-coder-7b_Casual.json             , long method , qwen2_5-coder-7b, Casual            ,             175,   0.56  ,          0.3836,       0.4786,   0.3547,             0.881 ,          0.56  ,      0.6448
ollama_results_long_method_qwen2_5-coder-7b_Confirmation-Bias.json  , long method , qwen2_5-coder-7b, Confirmation-Bias ,             175,   0.7829,          0.2945,       0.3619,   0.3079,             0.8324,          0.7829,      0.7988
ollama_results_long_method_qwen2_5-coder-7b_Contradictory-Hint.json , long method , qwen2_5-coder-7b, Contradictory-Hint,             175,   0.6971,          0.2759,       0.3371,   0.2739,             0.8204,          0.6971,      0.7396
ollama_results_long_method_qwen2_5-coder-7b_False-Premise.json      , long method , qwen2_5-coder-7b, False-Premise     ,             175,   0.7029,          0.4481,       0.4219,   0.3788,             0.8542,          0.7029,      0.7529
ollama_results_long_method_qwen2_5-coder-7b_Positive.json           , long method , qwen2_5-coder-7b, Positive          ,             175,   0.7143,          0.2884,       0.3721,   0.29  ,             0.8372,          0.7143,      0.7533
